Date,Close/Last,Volume,Open,High,Low
03/15/2024,509.83,107646300,510.21,511.70,508.122
03/14/2024,514.95,110171800,516.97,517.125,511.82
03/13/2024,515.97,55104090,517.11,517.29,514.49
03/12/2024,516.78,73114440,513.45,517.38,510.86
03/11/2024,511.28,62557180,510.48,511.88,508.50
03/08/2024,511.72,86532540,515.46,518.2201,511.13
03/07/2024,514.81,58652090,513.14,515.89,509.8053
03/06/2024,509.75,68382370,510.55,512.069,508.42
03/05/2024,507.18,72855620,510.24,510.70,504.91
03/04/2024,512.30,49799260,512.03,514.20,512.00
03/01/2024,512.85,76844840,508.98,513.29,508.56
02/29/2024,508.08,83924800,508.07,509.74,505.35
02/28/2024,506.26,56506630,505.33,506.855,504.96
02/27/2024,506.93,48854530,506.70,507.16,504.75
02/26/2024,505.99,50386740,508.30,508.75,505.86
02/23/2024,507.85,61321820,509.27,510.13,507.10
02/22/2024,507.50,76402540,504.01,508.49,503.02
02/21/2024,497.21,59603770,495.42,497.37,493.56
02/20/2024,496.76,71736740,497.72,498.41,494.45
